id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_sampah,satuan,tahun
101,32,JAWA BARAT,3272,KOTA SUKABUMI,131.97,TON/HARI,2020
102,32,JAWA BARAT,3273,KOTA BANDUNG,1533.65,TON/HARI,2020
103,32,JAWA BARAT,3274,KOTA CIREBON,159.02,TON/HARI,2020
104,32,JAWA BARAT,3275,KOTA BEKASI,1403.43,TON/HARI,2020
105,32,JAWA BARAT,3276,KOTA DEPOK,1258.53,TON/HARI,2020
106,32,JAWA BARAT,3277,KOTA CIMAHI,313.29,TON/HARI,2020
107,32,JAWA BARAT,3278,KOTA TASIKMALAYA,182.6,TON/HARI,2020
108,32,JAWA BARAT,3279,KOTA BANJAR,57.48,TON/HARI,2020
109,32,JAWA BARAT,3201,KABUPATEN BOGOR,701.0,TON/HARI,2021
110,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,261.2,TON/HARI,2021
111,32,JAWA BARAT,3203,KABUPATEN CIANJUR,223.8,TON/HARI,2021
112,32,JAWA BARAT,3204,KABUPATEN BANDUNG,738.05,TON/HARI,2021
113,32,JAWA BARAT,3205,KABUPATEN GARUT,283.34,TON/HARI,2021
114,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,111.12,TON/HARI,2021
115,32,JAWA BARAT,3207,KABUPATEN CIAMIS,115.2,TON/HARI,2021
116,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,290.3,TON/HARI,2021
117,32,JAWA BARAT,3209,KABUPATEN CIREBON,170.15,TON/HARI,2021
118,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,329.0,TON/HARI,2021
119,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,503.02,TON/HARI,2021
120,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,545.5,TON/HARI,2021
121,32,JAWA BARAT,3213,KABUPATEN SUBANG,535.5,TON/HARI,2021
122,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,170.16,TON/HARI,2021
123,32,JAWA BARAT,3215,KABUPATEN KARAWANG,449.2,TON/HARI,2021
124,32,JAWA BARAT,3216,KABUPATEN BEKASI,568.44,TON/HARI,2021
125,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,144.8,TON/HARI,2021
126,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,29.7,TON/HARI,2021
127,32,JAWA BARAT,3271,KOTA BOGOR,534.5,TON/HARI,2021
128,32,JAWA BARAT,3272,KOTA SUKABUMI,175.0,TON/HARI,2021
129,32,JAWA BARAT,3273,KOTA BANDUNG,1430.04,TON/HARI,2021
130,32,JAWA BARAT,3274,KOTA CIREBON,213.0,TON/HARI,2021
131,32,JAWA BARAT,3275,KOTA BEKASI,1061.0,TON/HARI,2021
132,32,JAWA BARAT,3276,KOTA DEPOK,1194.2,TON/HARI,2021
133,32,JAWA BARAT,3277,KOTA CIMAHI,173.8,TON/HARI,2021
134,32,JAWA BARAT,3278,KOTA TASIKMALAYA,194.29,TON/HARI,2021
135,32,JAWA BARAT,3279,KOTA BANJAR,44.0,TON/HARI,2021
136,32,JAWA BARAT,3201,KABUPATEN BOGOR,1444.34,TON/HARI,2022
137,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,292.64,TON/HARI,2022
138,32,JAWA BARAT,3203,KABUPATEN CIANJUR,453.24,TON/HARI,2022
139,32,JAWA BARAT,3204,KABUPATEN BANDUNG,401.85,TON/HARI,2022
140,32,JAWA BARAT,3205,KABUPATEN GARUT,223.24,TON/HARI,2022
141,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,130.02,TON/HARI,2022
142,32,JAWA BARAT,3207,KABUPATEN CIAMIS,147.2,TON/HARI,2022
143,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,262.0,TON/HARI,2022
144,32,JAWA BARAT,3209,KABUPATEN CIREBON,200.0,TON/HARI,2022
145,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,114.0,TON/HARI,2022
146,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,134.0,TON/HARI,2022
147,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,534.3,TON/HARI,2022
148,32,JAWA BARAT,3213,KABUPATEN SUBANG,400.0,TON/HARI,2022
149,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,142.79,TON/HARI,2022
150,32,JAWA BARAT,3215,KABUPATEN KARAWANG,366.0,TON/HARI,2022
151,32,JAWA BARAT,3216,KABUPATEN BEKASI,686.14,TON/HARI,2022
152,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,175.92,TON/HARI,2022
153,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,53.76,TON/HARI,2022
154,32,JAWA BARAT,3271,KOTA BOGOR,536.4,TON/HARI,2022
155,32,JAWA BARAT,3272,KOTA SUKABUMI,133.02,TON/HARI,2022
156,32,JAWA BARAT,3273,KOTA BANDUNG,1271.5,TON/HARI,2022
157,32,JAWA BARAT,3274,KOTA CIREBON,152.39,TON/HARI,2022
158,32,JAWA BARAT,3275,KOTA BEKASI,1200.0,TON/HARI,2022
159,32,JAWA BARAT,3276,KOTA DEPOK,1000.0,TON/HARI,2022
160,32,JAWA BARAT,3277,KOTA CIMAHI,165.2,TON/HARI,2022
161,32,JAWA BARAT,3278,KOTA TASIKMALAYA,200.82,TON/HARI,2022
162,32,JAWA BARAT,3279,KOTA BANJAR,48.37,TON/HARI,2022
163,32,JAWA BARAT,3201,KABUPATEN BOGOR,1444.34,TON/HARI,2023
164,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,312.64,TON/HARI,2023
